country,region,land_area,fertility_rate,median_age
Afghanistan,Asia,652860,4.4,17.0
Albania,Europe,27400,1.4,38.0
Algeria,Africa,2381740,2.8,28.0
American Samoa,Oceania,200,2.2,29.0
Andorra,Europe,470,1.1,43.0
Angola,Africa,1246700,5.1,16.0
Anguilla,Latin America,90,1.3,38.0
Antigua and Barbuda,Latin America,440,1.6,36.0
Argentina,Latin America,2736690,1.9,32.0
Armenia,Asia,28470,1.6,35.0
Aruba,Latin America,180,1.2,42.0
Australia,Oceania,7682300,1.6,38.0
Austria,Europe,82409,1.5,43.0
Azerbaijan,Asia,82658,1.7,32.0
Bahamas,Latin America,10010,1.4,33.0
Bahrain,Asia,760,1.8,34.0
Bangladesh,Asia,130170,1.9,27.0
Barbados,Latin America,430,1.6,40.0
Belarus,Europe,202910,1.5,41.0
Belgium,Europe,30280,1.6,41.0
Belize,Latin America,22810,2.0,26.0
Benin,Africa,112760,4.8,18.0
Bermuda,North America,50,1.4,46.0
Bhutan,Asia,38117,1.4,29.0
Bolivia,Latin America,1083300,2.5,24.0
Bosnia and Herzegovina,Europe,51000,1.3,42.0
Botswana,Africa,566730,2.7,24.0
Brazil,Latin America,8358140,1.6,34.0
British Virgin Islands,Latin America,150,1.0,39.0
Brunei,Asia,5270,1.7,33.0
Bulgaria,Europe,108560,1.6,45.0
Burkina Faso,Africa,273600,4.6,17.0
Burundi,Africa,25680,4.9,16.0
Cambodia,Asia,176520,2.3,27.0
Cameroon,Africa,472710,4.3,18.0
Canada,North America,9093510,1.5,41.0
Cape Verde,Africa,4030,1.9,27.0
Caribbean Netherlands,Latin America,328,1.6,40.0
Cayman Islands,Latin America,240,1.2,38.0
Central African Republic,Africa,622980,5.8,15.0
Chad,Africa,1259200,6.1,15.0
Chile,Latin America,743532,1.5,36.0
China,Asia,9388211,1.2,39.0
Colombia,Latin America,1109500,1.7,32.0
Comoros,Africa,1861,3.8,20.0
Congo,Africa,341500,4.0,18.0
Cook Islands,Oceania,240,2.2,33.0
Costa Rica,Latin America,51060,1.5,34.0
C̫te d'Ivoire,Africa,318000,4.3,18.0
Croatia,Europe,55960,1.4,44.0
Cuba,Latin America,106440,1.5,41.0
Cura̤ao,Latin America,444,1.6,36.0
Cyprus,Asia,9240,1.3,39.0
Czech Republic (Czechia),Europe,77240,1.7,43.0
Democratic Republic of the Congo,Africa,2267050,6.1,16.0
Denmark,Europe,42430,1.7,41.0
Djibouti,Africa,23180,2.7,24.0
Dominica,Latin America,750,1.6,32.0
Dominican Republic,Latin America,48320,2.2,28.0
Ecuador,Latin America,248360,2.0,28.0
Egypt,Africa,995450,2.8,24.0
El Salvador,Latin America,20720,1.8,27.0
Equatorial Guinea,Africa,28050,4.1,21.0
Eritrea,Africa,101000,3.7,19.0
Estonia,Europe,42390,1.7,42.0
Eswatini,Africa,17200,2.8,22.0
Ethiopia,Africa,1000000,4.0,19.0
Falkland Islands,Latin America,12170,1.6,40.0
Faroe Islands,Europe,1396,2.7,38.0
Fiji,Oceania,18270,2.4,27.0
Finland,Europe,303890,1.4,43.0
France,Europe,547557,1.8,42.0
French Guiana,Latin America,82200,3.4,24.0
French Polynesia,Oceania,3660,1.7,34.0
Gabon,Africa,257670,3.4,22.0
Gambia,Africa,10120,4.5,17.0
Georgia,Asia,69490,2.1,37.0
Germany,Europe,348560,1.5,45.0
Ghana,Africa,227540,3.5,21.0
Gibraltar,Europe,10,1.8,42.0
Greece,Europe,128900,1.4,45.0
Greenland,North America,410450,1.9,35.0
Grenada,Latin America,340,2.0,32.0
Guadeloupe,Latin America,1690,2.0,42.0
Guam,Oceania,540,2.5,30.0
Guatemala,Latin America,107160,2.3,23.0
Guinea,Africa,245720,4.2,18.0
Guinea-Bissau,Africa,28120,3.8,19.0
Guyana,Latin America,196850,2.3,26.0
Haiti,Latin America,27560,2.7,23.0
Holy See,Europe,0,,
Honduras,Latin America,111890,2.3,24.0
Hong Kong,Asia,1050,0.8,46.0
Hungary,Europe,90530,1.6,42.0
Iceland,Europe,100250,1.7,36.0
India,Asia,2973190,2.0,28.0
Indonesia,Asia,1811570,2.1,30.0
Iran,Asia,1628550,1.7,33.0
Iraq,Asia,434320,3.4,20.0
Ireland,Europe,68890,1.8,38.0
Isle of Man,Europe,570,1.6,46.0
Israel,Asia,21640,2.9,29.0
Italy,Europe,294140,1.3,48.0
Jamaica,Latin America,10830,1.3,32.0
Japan,Asia,364555,1.3,49.0
Jordan,Asia,88780,2.7,24.0
Kazakhstan,Asia,2699700,3.0,30.0
Kenya,Africa,569140,3.2,20.0
Kiribati,Oceania,810,3.2,22.0
Kuwait,Asia,17820,2.1,40.0
Kyrgyzstan,Asia,191800,2.9,24.0
Laos,Asia,230800,2.4,24.0
Latvia,Europe,62200,1.6,44.0
Lebanon,Asia,10230,2.1,29.0
Lesotho,Africa,30360,2.9,22.0
Liberia,Africa,96320,4.0,18.0
Libya,Africa,1759540,2.4,27.0
Liechtenstein,Europe,160,1.5,44.0
Lithuania,Europe,62674,1.6,44.0
Luxembourg,Europe,2590,1.4,39.0
Macao,Asia,30,1.1,39.0
Madagascar,Africa,581795,3.7,19.0
Malawi,Africa,94280,3.8,17.0
Malaysia,Asia,328550,1.8,31.0
Maldives,Asia,300,1.7,32.0
Mali,Africa,1220190,5.8,15.0
Malta,Europe,320,1.2,40.0
Marshall Islands,Oceania,180,2.6,26.0
Martinique,Latin America,1060,1.9,47.0
Mauritania,Africa,1030700,4.3,18.0
Mauritius,Africa,2030,1.4,37.0
Mayotte,Africa,375,4.3,17.0
Mexico,Latin America,1943950,1.8,30.0
Micronesia,Oceania,700,2.7,26.0
Moldova,Europe,32850,1.8,35.0
Monaco,Europe,1,2.1,54.0
Mongolia,Asia,1553560,2.7,27.0
Montenegro,Europe,13450,1.7,39.0
Montserrat,Latin America,100,1.6,44.0
Morocco,Africa,446300,2.3,29.0
Mozambique,Africa,786380,4.5,17.0
Myanmar,Asia,653290,2.1,30.0
Namibia,Africa,823290,3.2,21.0
Nauru,Oceania,20,3.4,20.0
Nepal,Asia,143350,2.0,24.0
Netherlands,Europe,33720,1.6,42.0
New Caledonia,Oceania,18280,2.0,34.0
New Zealand,Oceania,263310,1.8,37.0
Nicaragua,Latin America,120340,2.3,25.0
Niger,Africa,1266700,6.7,15.0
Nigeria,Africa,910770,5.1,17.0
Niue,Oceania,260,2.4,36.0
North Korea,Asia,120410,1.8,36.0
North Macedonia,Europe,25220,1.4,39.0
Northern Mariana Islands,Oceania,460,2.1,38.0
Norway,Europe,365268,1.5,40.0
Oman,Asia,309500,2.5,29.0
Pakistan,Asia,770880,3.3,21.0
Palau,Oceania,460,2.3,36.0
Panama,Latin America,74340,2.3,29.0
Papua New Guinea,Oceania,452860,3.1,22.0
Paraguay,Latin America,397300,2.4,26.0
Peru,Latin America,1280000,2.1,29.0
Philippines,Asia,298170,2.7,25.0
Poland,Europe,306230,1.5,40.0
Portugal,Europe,91590,1.4,46.0
Puerto Rico,Latin America,8870,1.3,44.0
Qatar,Asia,11610,1.8,34.0
R̩union,Africa,2500,2.2,34.0
Romania,Europe,230170,1.7,41.0
Russia,Europe,16376870,1.5,39.0
Rwanda,Africa,24670,3.7,19.0
Saint Barthelemy,North America,21,1.0,40.0
Saint Helena,Africa,390,1.6,53.0
Saint Kitts & Nevis,Latin America,260,1.5,35.0
Saint Lucia,Latin America,610,1.4,34.0
Saint Martin,Latin America,53,2.4,39.0
Saint Pierre & Miquelon,North America,230,1.6,44.0
Samoa,Oceania,2830,3.8,21.0
San Marino,Europe,60,1.1,47.0
Sao Tome & Principe,Africa,960,3.7,19.0
Saudi Arabia,Asia,2149690,2.4,31.0
Senegal,Africa,192530,4.3,18.0
Serbia,Europe,87460,1.5,43.0
Seychelles,Africa,460,2.3,33.0
Sierra Leone,Africa,72180,3.8,19.0
Singapore,Asia,700,1.0,43.0
Sint Maarten,Latin America,34,1.6,48.0
Slovakia,Europe,48088,1.6,40.0
Slovenia,Europe,20140,1.6,44.0
Solomon Islands,Oceania,27990,3.9,19.0
Somalia,Africa,627340,6.1,15.0
South Africa,Africa,1213090,2.3,28.0
South Korea,Asia,97230,0.9,44.0
South Sudan,Africa,610952,4.3,17.0
Spain,Europe,498800,1.3,45.0
Sri Lanka,Asia,62710,2.0,33.0
St. Vincent & Grenadines,Latin America,390,1.8,33.0
State of Palestine,Asia,6020,3.4,20.0
Sudan,Africa,1765048,4.3,19.0
Suriname,Latin America,156000,2.3,28.0
Sweden,Europe,410340,1.7,40.0
Switzerland,Europe,39516,1.5,42.0
Syria,Asia,183630,2.7,22.0
Taiwan,Asia,35410,1.2,42.0
Tajikistan,Asia,139960,3.1,22.0
Tanzania,Africa,885800,4.6,17.0
Thailand,Asia,510890,1.3,40.0
Timor-Leste,Asia,14870,3.0,21.0
Togo,Africa,54390,4.1,19.0
Tokelau,Oceania,10,2.6,27.0
Tonga,Oceania,720,3.2,22.0
Trinidad and Tobago,Latin America,5130,1.6,36.0
Tunisia,Africa,155360,2.0,32.0
Turkey,Asia,769630,1.9,32.0
Turkmenistan,Asia,469930,2.6,26.0
Turks and Caicos,Latin America,950,1.6,38.0
Tuvalu,Oceania,30,3.1,25.0
U.S. Virgin Islands,Latin America,350,2.1,43.0
Uganda,Africa,199810,4.4,16.0
Ukraine,Europe,579320,1.3,45.0
United Arab Emirates,Asia,83600,1.4,34.0
United Kingdom,Europe,241930,1.6,40.0
United States,North America,9147420,1.7,38.0
Uruguay,Latin America,175020,1.5,36.0
Uzbekistan,Asia,425400,2.8,27.0
Vanuatu,Oceania,12190,3.7,20.0
Venezuela,Latin America,882050,2.2,28.0
Vietnam,Asia,310070,1.9,33.0
Wallis & Futuna,Oceania,140,1.9,37.0
Western Sahara,Africa,266000,2.2,32.0
Yemen,Asia,527970,3.6,19.0
Zambia,Africa,743390,4.2,17.0
Zimbabwe,Africa,386850,3.4,18.0
